"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-03-31,"Oxford","CT","New Haven","New Haven",3430,313300,-0.00885795634292945,-0.0138495435945861,-0.0267163715439577,-0.0274060161795481,-0.00399628201088975,4270,"2006-06","2006-Q2",409000,-0.23398533007335,"2003-12"
2014-03-31,"Albion","MI","Battle Creek","Calhoun",3431,67100,0.00599700149925038,0.0484375,0.0910569105691057,0.00119653348689353,-0.0193743785820578,2833,"2004-04","2004-Q2",81600,-0.177696078431373,"2001-04"
2014-03-31,"Wickliffe","OH","Cleveland","Lake",3432,101600,-0.0078125,-0.0249520153550864,-0.0342205323193916,-0.0376631172109231,-0.023290810320479,5147,"2006-09","2006-Q3",138400,-0.265895953757225,"1997-04"
2014-03-31,"Harrison","WI","Appleton","Calumet",3433,182600,0.00109649122807018,0.00495321959273528,0.031638418079096,-0.00185166285613436,0.0143189974876861,1914,"2008-12","2008-Q4",186000,-0.0182795698924731,"2008-09"
2014-03-31,"Burlington","WA","Mount Vernon","Skagit",3434,191000,0.00951374207188161,0.0285406569736134,0.084611016467916,-0.030069378929137,0.0135792312579692,4129,"2007-05","2007-Q2",242100,-0.211069805865345,"2005-04"
2014-03-31,"Skippack Township","PA","Philadelphia","Montgomery",3435,331000,0.00485731633272617,0.0113046135044302,0.0564953718480689,-0.0133458513102029,0.0097139391178438,3174,"2006-09","2006-Q3",367400,-0.0990745781164943,"2004-12"
2014-03-31,"Fords","NJ","New York","Middlesex",3436,247600,0.0101999184006528,0.0303786933000416,0.0864414216761738,-0.0197007690409923,0.00158891901417424,3374,"2007-04","2007-Q2",325300,-0.238856440209038,"2004-05"
2014-03-31,"Huron","OH","Sandusky","Erie",3437,148600,-0.00201477501678979,0.0143344709897611,0.0178082191780822,0.0193821115679942,-0.00554699956570548,5155,"2007-04","2007-Q2",168000,-0.11547619047619,"2002-05"
2014-03-31,"Medway","MA","Boston","Norfolk",3438,365300,0.00384721077219016,0.00855880728879072,0.052434456928839,0.0158362869510225,-0.0032533662110884,3924,"2005-06","2005-Q2",413700,-0.116992990089437,"2004-01"
2014-03-31,"Chester Springs","PA","Philadelphia","Chester",3439,416000,0.000240442414041837,0,0.0358565737051793,-0.00534587615125826,0.00888029365365806,4334,"2007-03","2007-Q1",459400,-0.0944710491946017,"2004-11"
2014-03-31,"Clayton","CA","San Francisco","Contra Costa",3440,672700,-0.00311203319502075,-0.00502884188729478,0.160427807486631,0.0394030226378255,0.00768865159229848,4230,"2006-01","2006-Q1",834400,-0.193791946308725,"2004-10"
2014-03-31,"Justice","IL","Chicago","Cook",3441,152500,0.0066006600660066,0.0290148448043185,0.0656883298392732,-0.0570843524291128,-0.0287715165117385,2222,"2007-03","2007-Q1",261000,-0.415708812260536,"2001-06"
2014-03-31,"Kettering","MD","Washington","Prince Georges",3442,216300,0.00698324022346369,0.0188412623645784,0.0750497017892644,-0.0488153007533237,-0.00362522380838282,5452,"2007-05","2007-Q2",368600,-0.413185024416712,"2003-12"
2014-03-31,"Jefferson City","TN","Morristown","Jefferson",3443,113200,0.0107142857142857,0.0309653916211293,0.0540037243947858,-0.0120927789290319,0.00978193831402963,3527,"2007-05","2007-Q2",128500,-0.119066147859922,"2005-10"
2014-03-31,"Marshville","NC","Charlotte","Union",3444,139700,-0.000715307582260372,-0.0161971830985915,-0.0230769230769231,0.00731606918499406,0.00925915551504408,3990,"2013-03","2013-Q1",143000,-0.0230769230769231,"2012-12"
2014-03-31,"Adams Township","PA","Pittsburgh","Butler",3445,337700,-0.00354086751254057,-0.01487747957993,-0.0259590423997693,0.0193112897895049,0.0223610150322433,3005,"2013-06","2013-Q2",350400,-0.0362442922374429,"2012-11"
2014-03-31,"Town of Lewiston","NY","Buffalo","Niagara",3446,166800,0.00300661455201443,0,0.0208078335373317,0.0192937681728105,0.0372567476875862,3292,"2013-09","2013-Q3",168100,-0.00773349196906603,"2013-06"
2014-03-31,"Babylon","NY","New York","Suffolk",3447,385200,0.00338629851523834,-0.0115473441108545,0.00758566570755951,-0.0242027929062657,-0.000698245565225131,2638,"2006-03","2006-Q1",485800,-0.207081103334706,"2004-03"
2014-03-31,"Tillamook","OR",,"Tillamook",3448,176400,-0.0139742873113471,-0.0397387044093631,-0.123260437375746,-0.0370959215036951,0.00817936435292266,4396,"2007-12","2007-Q4",245300,-0.280880554423155,"2004-12"
2014-03-31,"Colville","WA",,"Stevens",3449,155100,0.0117416829745597,0.034,0.065979381443299,0.00819240166088853,0.0394852774457242,4408,"2007-09","2007-Q3",167300,-0.072922893006575,"2007-08"
2014-03-31,"Indiantown","FL","Port St. Lucie","Martin",3450,92400,0.0065359477124183,0.0335570469798658,0.144981412639405,-0.043647500209963,-0.0293777067262611,1093,"2005-12","2005-Q4",179300,-0.484662576687117,"2002-05"
2014-03-31,"Belding","MI","Grand Rapids","Ionia",3451,96900,-0.00615384615384615,-0.0202224469160768,0.112514351320321,0.0243918689987073,-0.0129583693827313,3423,"2006-11","2006-Q4",113300,-0.144748455428067,"2002-08"
2014-03-31,"Fortuna","CA","Eureka","Humboldt",3452,227500,0.000439753737906772,0.00574712643678161,0.0138146167557932,-0.0236339360159323,0.00929300859996673,3477,"2007-09","2007-Q3",323500,-0.296754250386399,"2004-10"
2014-03-31,"Gulfport","FL","Tampa","Pinellas",3453,120000,0.00334448160535117,0.00586756077116513,0.114206128133705,-0.00892275696907763,-0.00533976917010015,6117,"2006-02","2006-Q1",197600,-0.392712550607287,"2004-01"
2014-03-31,"Cleves","OH","Cincinnati","Hamilton",3454,163000,-0.00122549019607843,-0.00730816077953715,-0.0168878166465621,-0.00447905676140881,-0.00645211717831351,3457,"2006-06","2006-Q2",183300,-0.110747408619749,"2002-09"
2014-03-31,"White Oak","OH","Cincinnati","Hamilton",3455,101300,0.0019782393669634,0.00796019900497512,0.0201409869083585,-0.0168794219205202,-0.0194615308435523,4362,"2006-04","2006-Q2",131300,-0.228484386900228,"1999-05"
2014-03-31,"Lamont","CA","Bakersfield","Kern",3456,88900,0.00793650793650794,0.0289351851851852,0.290275761973875,-0.0321879706052091,-0.007239733703714,2168,"2006-10","2006-Q4",195800,-0.545965270684372,"2003-10"
2014-03-31,"Clarkesville","GA","Cornelia","Habersham",3457,115800,0.011353711790393,0.0556061987237922,0.138643067846608,,,7271,"2009-11","2009-Q4",162800,-0.288697788697789,"2003-03"
2014-03-31,"Rochester","MI","Detroit","Oakland",3458,278300,0.0108972030512169,0.0261799410029499,0.155730897009967,0.0591477364467152,-0.0020605362073699,4123,"2005-06","2005-Q2",297900,-0.0657938905673045,"2004-01"
2014-03-31,"West Carrollton","OH","Dayton","Montgomery",3459,77900,0.00645994832041344,0.0143229166666667,-0.00383631713554987,-0.0306084872122052,-0.0210826127796535,4140,"2008-02","2008-Q1",102700,-0.241480038948393,"1996-05"
2014-03-31,"Springfield","TN","Nashville","Robertson",3460,98100,0.00409416581371546,-0.00203458799593082,0.0425079702444208,-0.00834940971303422,0.0127809561647554,6319,"2007-07","2007-Q3",103300,-0.0503388189738625,"2006-10"
2014-03-31,"Pottsboro","TX","Sherman","Grayson",3461,124700,-0.00160128102481986,-0.00160128102481986,0.0676369863013699,0.0265256988136187,0.0221152621628955,3421,"2014-01","2014-Q1",125300,-0.00478850758180367,"2013-12"
2014-03-31,"Chestertown","MD",,"Kent",3462,187300,-0.00425305688463583,-0.0100422832980972,-0.027012987012987,-0.0495612631445581,0.00733494616106745,5153,"2007-03","2007-Q1",285900,-0.344875830710038,"2004-06"
2014-03-31,"Town of Kingston","MA","Boston","Plymouth",3463,322300,-0.00586057988895743,-0.00432499227679951,0.0406845334194382,-0.000062042437504628,-0.0124455203847413,3975,"2005-06","2005-Q2",394700,-0.183430453508994,"2003-04"
2014-03-31,"Camp Verde","AZ","Prescott","Yavapai",3464,187700,-0.00582627118644068,-0.0152151101783841,0.0622524052065648,-0.0330093838453944,0.0147711828718422,2427,"2006-09","2006-Q3",264000,-0.289015151515152,"2004-12"
2014-03-31,"Bridgetown","OH","Cincinnati","Hamilton",3465,102800,-0.00194174757281553,-0.00772200772200772,-0.0490286771507863,-0.0202982628481798,-0.0194413379692386,4717,"2006-07","2006-Q3",130500,-0.212260536398467,"1999-05"
2014-03-31,"Finneytown","OH","Cincinnati","Hamilton",3466,97600,-0.00204498977505112,-0.00408163265306122,0.0539956803455724,-0.0180385862393,-0.0222274039220608,4831,"2006-04","2006-Q2",128100,-0.238095238095238,"1999-03"
2014-03-31,"Azalea Park","FL","Orlando","Orange",3467,98600,0.0112820512820513,0.0433862433862434,0.214285714285714,-0.0539372921714467,-0.0132768900556995,2989,"2006-10","2006-Q4",198200,-0.502522704339051,"2003-03"
2014-03-31,"Elkview","WV","Charleston","Kanawha",3468,94600,-0.00734522560335782,-0.0104602510460251,0.0139335476956056,0.00580809127464077,0.0388811393911097,5765,"2010-06","2010-Q2",98900,-0.0434782608695652,"2009-06"
2014-03-31,"Saltillo","MS","Tupelo","Lee",3469,146100,0.000684931506849315,-0.00747282608695652,,0.0208148075558265,0.0221113523063285,2988,"2013-05","2013-Q2",153200,-0.0463446475195822,"2013-04"
2014-03-31,"Church Point","LA","Crowley","Acadia",3470,123000,0.0406091370558376,0.0327455919395466,0.0414902624894158,,,2475,"2013-05","2013-Q2",123800,-0.00646203554119548,"2013-05"
2014-03-31,"Cherryville","NC","Charlotte","Gaston",3471,98500,0,0.0133744855967078,0.0800438596491228,0.00163232862622764,0.00641343551861295,3202,"2008-05","2008-Q2",101800,-0.0324165029469548,"2007-07"
