"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"Borah","ID","Boise City","Ada","Boise",1648,149500,0.00470430107526882,0.00673400673400673,0.0904449307075128,-0.0119972829589073,0.026583631304232,2042,"2007-04","2007-Q2",190300,-0.214398318444561,"2005-10","2011-04","2011-Q2",112300,-0.409879138202838
2014-02-28,"Kenwood","IL","Chicago","Cook","Chicago",1649,165000,0.019147621988882,0.0631443298969072,0.0848126232741617,-0.0291462893726088,-0.0214725608879376,2199,"2006-07","2006-Q3",229900,-0.282296650717703,"2001-08","2012-12","2012-Q4",147300,-0.359286646367986
2014-02-28,"Blackstone","RI","Providence","Providence","Providence",1650,447700,0.00674612098043625,0.0119801084990958,0.0596449704142012,0.00402400201092612,-0.0126728631034426,2028,"2006-06","2006-Q2",571900,-0.217170834061899,"2003-04","2012-05","2012-Q2",411900,-0.279769190417905
2014-02-28,"Metro Center","MA","Springfield","Hampden","Springfield",1651,77800,0.0156657963446475,0.0471063257065949,0.15946348733234,-0.0198416835959658,0.00570179621022304,600,"2006-05","2006-Q2",93900,-0.171458998935037,"2004-07","2012-11","2012-Q4",63800,-0.320553780617678
2014-02-28,"North Tampa","FL","Tampa","Hillsborough","Tampa",1652,59000,0.0243055555555556,0.0611510791366906,0.350114416475973,-0.0366225373181756,-0.0184820619663518,1713,"2006-09","2006-Q3",125300,-0.529130087789306,"2001-06","2012-02","2012-Q1",38100,-0.695929768555467
2014-02-28,"Mill Basin","NY","New York","Kings","New York",1653,963200,0.00155973796402204,0.00354240466763909,-0.00905349794238683,0.0129016475401109,0.0232524698889587,1283,"2006-12","2006-Q4",1142200,-0.156715111188934,"2005-11","2009-03","2009-Q1",899400,-0.212572229031693
2014-02-28,"Plaza-Eastway","NC","Charlotte","Mecklenburg","Charlotte",1654,84100,0.00598086124401914,0.025609756097561,0.158402203856749,-0.0224274040470034,-0.0151797001647842,1917,"2006-07","2006-Q3",106100,-0.207351555136664,"1999-01","2012-12","2012-Q4",70400,-0.336475023562677
2014-02-28,"New Tampa","FL","Tampa","Hillsborough","Tampa",1655,199800,0.00858152448258455,0.031491997934951,0.121841661987647,0.0167232406264657,0.00691234343482172,2043,"2006-05","2006-Q2",307000,-0.349185667752443,"2004-08","2011-10","2011-Q4",166400,-0.457980456026059
2014-02-28,"Seward","MN","Minneapolis-St Paul","Hennepin","Minneapolis",1656,207500,0,-0.000481695568400771,0.055442522889115,0.00479098983746384,0.00145739739165407,1162,"2006-05","2006-Q2",229200,-0.0946771378708551,"2004-05","2012-01","2012-Q1",172400,-0.2478184991274
2014-02-28,"Canyon Creek","TX","Dallas-Fort Worth","Dallas","Richardson",1657,252500,0.00477516912057302,0.00477516912057302,0.0708227311280746,0.0261735492453583,0.028414760279168,2847,"2013-09","2013-Q3",255100,-0.0101920815366523,"2013-08","2013-12","2013-Q4",250300,-0.0188161505292042
2014-02-28,"Kilbourn Park","IL","Chicago","Cook","Chicago",1658,206200,0.0107843137254902,0.00291828793774319,0.0558115719406042,-0.0427918189411017,-0.0213625355695871,740,"2007-02","2007-Q1",334400,-0.383373205741627,"2002-02","2012-02","2012-Q1",168600,-0.495813397129187
