"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,188900,0.00854244527495996,0.0255157437567861,0.0684389140271493,0.0199911172928751,0.0221735473020199,51800,"2014-02","2014-Q1",188900,0,"2014-02",,,,
2014-02-28,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,156700,0.00448717948717949,0.022845953002611,0.262691377921031,-0.0230734151655699,-0.0167836260133636,56804,"2006-07","2006-Q3",293800,-0.466643975493533,"2003-03","2012-02","2012-Q1",101600,-0.654186521443159
2014-02-28,"Upper West Side","NY","New York","New York","New York",2,1321000,0.00303720577069096,0.00593968930855924,0.189875698072419,0.0549462493011257,,18759,"2014-02","2014-Q1",1321000,0,"2014-02",,,,
2014-02-28,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",3,291700,0.00899342787962643,0.0253075571177504,0.187703583061889,0.014755426224669,0.0222414846674781,22190,"2007-04","2007-Q2",455500,-0.3596048298573,"2004-10","2011-10","2011-Q4",213900,-0.530406147091109
2014-02-28,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",4,475900,0.00591841048404143,0.0254255548373195,0.195428284350666,0.0308126009423806,0.019116890030443,33837,"2006-08","2006-Q3",591600,-0.195571331981068,"2005-01","2012-03","2012-Q1",350100,-0.408215010141988
2014-02-28,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",5,115800,0.00959023539668701,0.0330062444246209,0.335640138408304,-0.0437135557776461,-0.0294838806895522,39949,"2006-09","2006-Q3",259400,-0.553585196607556,"2000-08","2012-02","2012-Q1",69000,-0.734001542020046
2014-02-28,"East New York","NY","New York","Kings","New York",6,319900,0.00819413803971005,0.0386363636363636,0.111535788742182,-0.0202198928788312,0.0308413364142293,5200,"2007-11","2007-Q4",389900,-0.179533213644524,"2005-11","2013-04","2013-Q2",286700,-0.264683252115927
2014-02-28,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",7,248100,0.0118270799347471,0.040251572327044,0.206125425376762,0.0102214664397204,0.0276364037503281,13682,"2007-02","2007-Q1",409700,-0.394434952404198,"2004-11","2010-03","2010-Q1",162700,-0.602880156211862
2014-02-28,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",8,166600,0.00301023479831427,0.0158536585365854,0.220512820512821,-0.0134826428807537,-0.0174162549586308,59742,"2006-03","2006-Q1",305300,-0.454307238781526,"2003-06","2012-01","2012-Q1",112700,-0.630854896822797
2014-02-28,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",9,174900,-0.00455321570859419,-0.00114220445459737,0.100692259282568,-0.00147997005808553,0.015476447532353,49398,"2006-02","2006-Q1",258000,-0.322093023255814,"2005-01","2011-01","2011-Q1",116300,-0.54922480620155
2014-02-28,"Astoria","NY","New York","Queens","New York",10,605000,0.0038161606105857,0.0166358595194085,0.115618661257606,0.0318167631467843,0.0479908153962405,3520,"2014-02","2014-Q1",605000,0,"2014-02",,,,
2014-02-28,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,262700,-0.006053726825577,-0.00905318747642399,0.0775225594749795,0.0105261554847464,0.0313124875085102,53585,"2006-02","2006-Q1",349800,-0.248999428244711,"2005-03","2011-08","2011-Q3",180800,-0.483133218982276
2014-02-28,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",12,143200,-0.00831024930747922,-0.0110497237569061,0.149277688603531,-0.0104203502671528,0.0105760698639703,45752,"2006-07","2006-Q3",222200,-0.355535553555356,"2004-11","2011-07","2011-Q3",87300,-0.607110711071107
2014-02-28,"Washington Heights","NY","New York","New York","New York",13,505500,-0.000593119810201661,-0.000790670092903736,0.267870579382995,0.0134649614416089,0.0533512582524205,777,"2013-12","2013-Q4",508000,-0.00492125984251968,"2013-11","2014-02","2014-Q1",505500,-0.00492125984251968
2014-02-28,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",14,255900,0.00787711697518708,0.0219648562300319,0.0461978740801308,0.0198913477216964,0.0227752073209588,28591,"2014-02","2014-Q1",255900,0,"2014-02",,,,
2014-02-28,"Hollywood","CA","Los Angeles","Los Angeles","Los Angeles",15,565800,0.00837640349313848,0.042180880456806,0.180717863105175,0.0105785762815349,0.0305664459336561,5401,"2007-10","2007-Q4",640100,-0.11607561318544,"2005-06","2012-05","2012-Q2",438200,-0.315419465708483
2014-02-28,"Bedford Stuyvesant","NY","New York","Kings","New York",16,572600,0.000873973081629086,0.0276381909547739,0.272444444444444,0.0619329523925563,0.0684612831918949,3028,"2014-02","2014-Q1",572600,0,"2014-02",,,,
2014-02-28,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",17,225300,-0.00705156456588806,-0.0208604954367666,0.0974184120798831,0.00772117126409899,0.0338531766257339,40297,"2006-06","2006-Q2",288000,-0.217708333333333,"2005-06","2011-08","2011-Q3",146900,-0.489930555555556
2014-02-28,"Flatbush","NY","New York","Kings","New York",18,728900,0.00732448866777225,0.0282127239384963,0.119662058371736,0.0192253009583121,0.0504424811054054,2455,"2007-11","2007-Q4",738900,-0.0135336310732169,"2007-08","2012-01","2012-Q1",594300,-0.195696305318717
2014-02-28,"East Side","TX","El Paso","El Paso","El Paso",19,117000,0.00688468158347677,0.012987012987013,0.0335689045936396,-0.00538208188007272,0.0300698151199419,36058,"2007-08","2007-Q3",132900,-0.119638826185102,"2006-08","2012-11","2012-Q4",112600,-0.152746425884123
2014-02-28,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",20,63300,0.00796178343949045,0.0259319286871961,0.17877094972067,-0.00343973131516562,-0.0185053939640896,29543,"2006-10","2006-Q4",82300,-0.23086269744836,"2000-11","2011-12","2011-Q4",49300,-0.40097205346294
2014-02-28,"Crown Heights","NY","New York","Kings","New York",21,655800,0.00106853915432758,0.029998429401602,0.232706766917293,0.0589441012500405,0.0740887542400448,2289,"2014-02","2014-Q1",655800,0,"2014-02",,,,
2014-02-28,"Alahambra","AZ","Phoenix","Maricopa","Phoenix",22,113500,-0.0130434782608696,-0.0265866209262436,0.112745098039216,-0.0386145087241656,-0.00303250243522413,30798,"2006-12","2006-Q4",206400,-0.450096899224806,"2003-08","2011-08","2011-Q3",68700,-0.667151162790698
2014-02-28,"Jamaica","NY","New York","Queens","New York",23,324200,0.00871188550093342,0.0292063492063492,0.0724445914654317,-0.028434157821268,0.0225888414618847,8777,"2007-04","2007-Q2",430300,-0.246572158958866,"2005-08","2012-01","2012-Q1",287100,-0.332791075993493
2014-02-28,"Roosevelt","CA","Fresno","Fresno","Fresno",24,121300,0.0133667502088555,0.0429922613929493,0.308522114347357,-0.0189844146912197,-0.0117363650821186,23966,"2006-06","2006-Q2",235000,-0.483829787234043,"2003-10","2011-11","2011-Q4",83500,-0.64468085106383
2014-02-28,"Williamsbridge","NY","New York","Bronx","New York",25,320400,-0.0015581177937052,0.00250312891113892,0.0602250165453342,-0.0186920969937251,0.02005418848453,2557,"2007-05","2007-Q2",412800,-0.223837209302326,"2005-07","2013-03","2013-Q1",301600,-0.26937984496124
2014-02-28,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",26,472900,-0.00504944245739533,-0.0145863721608668,0.0229288340904175,0.00398026794668227,0.0282835726320381,53862,"2006-02","2006-Q1",629900,-0.249245912049532,"2005-02","2010-12","2010-Q4",366300,-0.418479123670424
2014-02-28,"East Harlem","NY","New York","New York","New York",27,730100,0.0138869601444244,0.0296150049358342,0.126697530864198,0.0284340714286142,,1479,"2014-02","2014-Q1",730100,0,"2014-02",,,,
2014-02-28,"East San Jose","CA","San Jose","Santa Clara","San Jose",28,465100,0.00258676438887691,0.0130690481376606,0.198093766099948,0.0274513901541589,0.00627441219948111,19666,"2007-02","2007-Q1",622900,-0.253331192807834,"2004-07","2011-05","2011-Q2",316900,-0.491250602022797
2014-02-28,"East Flatbush","NY","New York","Kings","New York",29,379400,0.00396930404869013,0.0160685591858597,0.0666291818948552,-0.012583901631278,0.0306991828339864,5233,"2007-11","2007-Q4",463000,-0.180561555075594,"2005-12","2012-02","2012-Q1",354600,-0.234125269978402
2014-02-28,"Bushwick","NY","New York","Kings","New York",30,487800,-0.000819336337566571,0.0037037037037037,0.218586060454659,0.0456609897348752,0.0631585459634703,729,"2013-12","2013-Q4",488900,-0.00224994886479853,"2013-12","2014-02","2014-Q1",487800,-0.00224994886479853
2014-02-28,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",31,113400,-0.0104712041884817,-0.0365335598980459,0.0999030067895247,-0.0499311348970057,-0.0072833125305517,28777,"2006-12","2006-Q4",209300,-0.45819397993311,"2003-01","2011-08","2011-Q3",71700,-0.657429526994744
2014-02-28,"Corona","NY","New York","Queens","New York",32,381200,0.00873246890711829,0.00899947061937533,0.0412455613220431,0.0134881415875121,0.0220502323902079,1607,"2014-02","2014-Q1",381200,0,"2014-02",,,,
2014-02-28,"Enterprise","NV","Las Vegas","Clark","Las Vegas",33,196300,0.00563524590163934,0.0197402597402597,0.255918106206014,-0.00844212183255511,-0.0159323911560427,43187,"2006-03","2006-Q1",347300,-0.434782608695652,"2003-07","2012-02","2012-Q1",131400,-0.621652749784048
2014-02-28,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",34,89000,0.00112485939257593,0.0090702947845805,0.0409356725146199,-0.0188815042737357,0.000563540501143045,38186,"2007-05","2007-Q2",101500,-0.123152709359606,"2004-05","2012-07","2012-Q3",84200,-0.170443349753695
2014-02-28,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",35,156800,-0.00254452926208651,0.000638162093171666,0.146198830409357,0.02277848714176,0.0369364258227849,24732,"2013-12","2013-Q4",157500,-0.00444444444444444,"2013-12","2014-02","2014-Q1",156800,-0.00444444444444444
2014-02-28,"North Hollywood","CA","Los Angeles","Los Angeles","Los Angeles",36,448200,0.00651246350774759,0.0260989010989011,0.239491150442478,0.0306519478419671,0.0206347031276921,11170,"2006-08","2006-Q3",575900,-0.22173988539677,"2004-12","2011-12","2011-Q4",319900,-0.444521618336517
2014-02-28,"Elmhurst","NY","New York","Queens","New York",37,424100,-0.0018827959519887,-0.0121127416724901,0.00760275599904965,0.037147071620415,0.0215400941352062,3558,"2011-07","2011-Q3",436500,-0.0284077892325315,"2011-04","2013-06","2013-Q2",406300,-0.0691867124856816
2014-02-28,"Borough Park","NY","New York","Kings","New York",38,608500,0.0150125104253545,0.032931590561874,0.09167563688554,0.0385268430807235,0.0511498047751158,2988,"2014-02","2014-Q1",608500,0,"2014-02",,,,
2014-02-28,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",39,86900,0.00812064965197216,0.0495169082125604,0.210306406685237,,,25353,"2009-06","2009-Q2",92900,-0.0645855758880517,"2009-03","2012-05","2012-Q2",70800,-0.23789020452099
2014-02-28,"Bullard","CA","Fresno","Fresno","Fresno",40,221400,0.000451875282422052,0.00911577028258888,0.166491043203372,0.00145164828380406,-0.00716216824970151,28090,"2006-04","2006-Q2",352500,-0.371914893617021,"2003-11","2012-01","2012-Q1",166800,-0.526808510638298
2014-02-28,"Mid City","CA","Los Angeles","Los Angeles","Los Angeles",41,657000,0.0120147874306839,0.0426916362482146,0.224375698844577,0.0333896310808548,0.0315014846402712,9877,"2006-06","2006-Q2",719700,-0.0871196331804919,"2005-09","2011-12","2011-Q4",445300,-0.381269973600111
2014-02-28,"Bensonhurst","NY","New York","Kings","New York",42,616500,0.00456248981587095,0.0114848236259229,0.0921169176262179,0.038413807272631,0.0437659496040184,3001,"2014-02","2014-Q1",616500,0,"2014-02",,,,
2014-02-28,"Southwest Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",43,95000,0.014957264957265,0.0532150776053215,0.201011378002528,0.00908453738684578,0.000316339165534973,20762,"2007-03","2007-Q1",107800,-0.11873840445269,"2004-03","2012-08","2012-Q3",77900,-0.277365491651206
2014-02-28,"West San Jose","CA","San Jose","Santa Clara","San Jose",44,920900,0.000108601216333623,0.00163149880356754,0.119227029654837,0.0525946124978995,0.0441391788857981,19604,"2014-02","2014-Q1",920900,0,"2014-02",,,,
2014-02-28,"Northeast","TX","El Paso","El Paso","El Paso",45,93000,0.00107642626480086,-0.0053475935828877,0.0231023102310231,-0.00508285541051956,0.028524363500722,23516,"2009-08","2009-Q3",100100,-0.0709290709290709,"2009-01","2012-10","2012-Q4",90200,-0.0989010989010989
2014-02-28,"East","TX","Dallas-Fort Worth","Tarrant","Arlington",46,81600,0.0111524163568773,0.036848792884371,0.12707182320442,-0.00766373881369786,-0.00774760151582121,15211,"2007-02","2007-Q1",97800,-0.165644171779141,"2002-11","2012-12","2012-Q4",71000,-0.274028629856851
2014-02-28,"Westlake","CA","Los Angeles","Los Angeles","Los Angeles",47,425700,-0.00444340505144995,-0.00421052631578947,0.231770833333333,0.01207691469183,0.0426356350249697,1970,"2007-04","2007-Q2",511200,-0.167253521126761,"2005-09","2011-10","2011-Q4",290800,-0.431142410015649
2014-02-28,"Koreatown","CA","Los Angeles","Los Angeles","Los Angeles",48,483100,0.00834898768524316,0.0243850720949958,0.181173594132029,0.00827435683910105,0.0366704366132065,2610,"2007-11","2007-Q4",583700,-0.172348809319856,"2005-07","2011-12","2011-Q4",346600,-0.406201816001371
2014-02-28,"North Long Beach","CA","Los Angeles","Los Angeles","Long Beach",49,326400,0.0089644513137558,0.0241606526513963,0.212931995540691,0.0335150682603886,0.0165460053955022,11125,"2006-08","2006-Q3",465300,-0.298517085751128,"2004-08","2011-12","2011-Q4",235900,-0.493015258972706
2014-02-28,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",50,55400,0.00180831826401447,0.0127970749542962,-0.0018018018018018,-0.0404391277212099,-0.0224195765538311,25891,"2007-04","2007-Q2",76900,-0.279583875162549,"1998-04","2013-09","2013-Q3",54000,-0.29778933680104
2014-02-28,"Soundview","NY","New York","Bronx","New York",51,281000,-0.00319262149698475,-0.0239666550885724,-0.0256588072122053,-0.0347172320923141,0.0120822965313159,600,"2007-08","2007-Q3",383600,-0.267466110531804,"2005-02","2012-05","2012-Q2",279100,-0.272419186652763
2014-02-28,"Sun Valley","CA","Los Angeles","Los Angeles","Los Angeles",52,375000,0.0110541925047183,0.0402219140083218,0.201537968599808,0.0294775108652074,0.0127120565809926,14811,"2006-09","2006-Q3",532100,-0.295245254651381,"2004-07","2012-01","2012-Q1",277200,-0.479045292238301
2014-02-28,"Logan Square","IL","Chicago","Cook","Chicago",53,256700,0.00666666666666667,0.0280336403684421,0.207431796801505,-0.00185946897964218,0.00805930039048031,7083,"2006-08","2006-Q3",299000,-0.141471571906355,"2005-01","2012-02","2012-Q1",196400,-0.34314381270903
2014-02-28,"South Bronx","NY","New York","Bronx","New York",54,270400,0.0022238695329874,0.00259547645532073,0.00857888847444983,-0.0293319170251455,0.0229536146439957,725,"2007-10","2007-Q4",341400,-0.20796719390744,"2005-08","2012-02","2012-Q1",259000,-0.241359109548916
2014-02-28,"Northwest","TX","El Paso","El Paso","El Paso",55,185100,0.000540540540540541,-0.00376749192680301,0.0499149177538287,0.000216239613689995,0.0310012808968296,20608,"2010-11","2010-Q4",209400,-0.116045845272206,"2009-03","2013-01","2013-Q1",175300,-0.162846227316141
2014-02-28,"Southeast","TX","Dallas-Fort Worth","Tarrant","Arlington",56,124900,0.00321285140562249,0.0212591986917416,0.0629787234042553,-0.00111714291124687,-0.000638266067965687,23391,"2007-02","2007-Q1",137500,-0.0916363636363636,"2004-02","2011-11","2011-Q4",110300,-0.197818181818182
2014-02-28,"South Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",57,246700,-0.00684380032206119,-0.0159553250897487,0.102816271792579,0.0202227222483757,0.0384291697600028,38649,"2006-03","2006-Q1",305800,-0.193263570961413,"2005-06","2011-07","2011-Q3",163600,-0.465009810333551
2014-02-28,"Flushing","NY","New York","Queens","New York",58,502900,0.0141157491429724,0.0347736625514403,0.0122785829307568,0.0578113138009066,0.0377738001144428,6264,"2013-04","2013-Q2",503500,-0.00119165839126117,"2013-04","2013-11","2013-Q4",486000,-0.0347567030784508
2014-02-28,"Preston Hollow","TX","Dallas-Fort Worth","Dallas","Dallas",59,255500,0.00828729281767956,0.0327405012126112,0.138084632516704,0.0324442402858405,0.0318139691771466,18029,"2014-02","2014-Q1",255500,0,"2014-02",,,,
2014-02-28,"Canarsie","NY","New York","Kings","New York",60,371300,0.00514347590687602,0.0223017621145374,0.0891757113523027,-0.0127981679360296,0.0329086016953921,3617,"2007-11","2007-Q4",447500,-0.170279329608939,"2005-12","2013-02","2013-Q1",340900,-0.238212290502793
2014-02-28,"Little Village","IL","Chicago","Cook","Chicago",61,117200,-0.00593723494486853,-0.0192468619246862,0.188640973630832,-0.07363766139468,-0.026684499886599,3014,"2006-09","2006-Q3",200600,-0.415752741774676,"2001-07","2012-09","2012-Q3",87900,-0.561814556331007
2014-02-28,"Estrella","AZ","Phoenix","Maricopa","Phoenix",62,132000,-0.00226757369614512,0.0045662100456621,0.18491921005386,-0.00841945282814272,-0.00045341269392174,17204,"2006-07","2006-Q3",232400,-0.432013769363167,"2004-02","2011-02","2011-Q1",75800,-0.673838209982788
2014-02-28,"Canoga Park","CA","Los Angeles","Los Angeles","Los Angeles",63,435600,0.0020703933747412,0.00903405142460042,0.152380952380952,0.0369088701339255,0.0116130491725597,12182,"2006-06","2006-Q2",567400,-0.23228762777582,"2004-07","2012-03","2012-Q1",328800,-0.420514628128305
2014-02-28,"Boyle Heights","CA","Los Angeles","Los Angeles","Los Angeles",64,284400,0.0146271851587585,0.039853747714808,0.230103806228374,0.00858526053287045,0.0314322686271891,3752,"2007-01","2007-Q1",418700,-0.320754716981132,"2005-02","2011-04","2011-Q2",194600,-0.535228086935754
2014-02-28,"Sylmar","CA","Los Angeles","Los Angeles","Los Angeles",65,364600,-0.000274197970935015,0.00440771349862259,0.146901541365209,0.0285047417558886,0.00944100208319498,14286,"2006-10","2006-Q4",534800,-0.318249813014211,"2004-05","2011-11","2011-Q4",277200,-0.481675392670157
2014-02-28,"Downtown","CA","San Jose","Santa Clara","San Jose",66,524300,0.00344497607655502,0.00982280431432974,0.180058519018681,0.0337602218742454,0.0190817233139677,12225,"2007-03","2007-Q1",598600,-0.124122953558303,"2005-03","2011-10","2011-Q4",372200,-0.37821583695289
2014-02-28,"Ahwatukee Foothills","AZ","Phoenix","Maricopa","Phoenix",67,269500,-0.00295967443581206,-0.00663472171028382,0.0626971608832808,0.0121564813468737,0.026885045512085,27091,"2006-02","2006-Q1",364500,-0.260631001371742,"2005-03","2011-09","2011-Q3",191800,-0.473799725651578
2014-02-28,"West","TX","Dallas-Fort Worth","Tarrant","Arlington",68,135300,0.00520059435364041,0.0119670905011219,0.0391705069124424,-0.00103153771067821,0.00524813787344991,22004,"2006-07","2006-Q3",142200,-0.0485232067510548,"2006-01","2011-09","2011-Q3",123600,-0.130801687763713
2014-02-28,"Pacoima","CA","Los Angeles","Los Angeles","Los Angeles",69,323900,0.00777846919726198,0.0421492921492921,0.2414718282867,0.0383067737757123,0.0139491698139549,9824,"2006-08","2006-Q3",493400,-0.343534657478719,"2004-07","2009-11","2009-Q4",221500,-0.551074179164978
2014-02-28,"Gravesend","NY","New York","Kings","New York",70,697500,0.0145454545454545,0.03486646884273,0.112617642367204,0.025862880471206,0.049390030635144,2746,"2014-02","2014-Q1",697500,0,"2014-02",,,,
2014-02-28,"Evergreen","CA","San Jose","Santa Clara","San Jose",71,731000,-0.00177522873139424,0.00343170899107756,0.147927135678392,0.0417496797386945,0.02399242170666,23063,"2006-04","2006-Q2",803100,-0.0897771136844727,"2005-06","2011-09","2011-Q3",536900,-0.331465570912713
2014-02-28,"San Pedro","CA","Los Angeles","Los Angeles","Los Angeles",72,469300,0.00427990584207147,0.011858559724019,0.126229901607871,-0.00424956477709548,0.00571582143141569,13108,"2006-08","2006-Q3",621800,-0.245255709231264,"2004-05","2012-03","2012-Q1",368900,-0.406722418784175
2014-02-28,"North Valley","CA","San Jose","Santa Clara","San Jose",73,571200,0.00175377060680463,0.00936561229899275,0.184570717544587,0.0393741267072207,0.0227802557691086,14071,"2006-01","2006-Q1",636600,-0.102733270499529,"2005-04","2012-02","2012-Q1",415000,-0.348099277411247
2014-02-28,"Sheepshead Bay","NY","New York","Kings","New York",74,578100,0.00714285714285714,0.0197565708237784,0.0811670095380587,0.0236238633928056,0.0349308192396887,5548,"2006-06","2006-Q2",591100,-0.021992894603282,"2006-04","2009-07","2009-Q3",501900,-0.150905092200981
2014-02-28,"Murray Hill","NY","New York","Queens","New York",75,681400,0.0099303394101082,0.0300831443688587,0.109410615434712,0.0226869306392528,0.0343290383106831,5225,"2014-02","2014-Q1",681400,0,"2014-02",,,,
2014-02-28,"Willow Glen","CA","San Jose","Santa Clara","San Jose",76,822600,-0.000486026731470231,-0.00230442692540934,0.098997995991984,0.0417989062746871,0.0316109844166046,18198,"2013-10","2013-Q4",824900,-0.00278821675354588,"2013-09","2014-02","2014-Q1",822600,-0.00278821675354588
2014-02-28,"North Raleigh","NC","Raleigh","Wake","Raleigh",77,227600,0.00397000441111601,0.0133570792520036,0.0595903165735568,0.00247878396406254,0.0195701181686569,25520,"2007-11","2007-Q4",228400,-0.00350262697022767,"2007-10","2012-06","2012-Q2",209000,-0.084938704028021
2014-02-28,"South Ozone Park","NY","New York","Queens","New York",78,378600,0.0101387406616862,0.0271296798697775,0.0767918088737201,-0.0054051602371169,0.023032261111688,7540,"2007-04","2007-Q2",495000,-0.235151515151515,"2005-08","2011-11","2011-Q4",332400,-0.328484848484848
2014-02-28,"Southwest","CA","San Diego","San Diego","Chula Vista",79,336600,0.00417661097852029,0.0181488203266788,0.186046511627907,0.0457794000688707,-0.00683619368260135,11533,"2006-05","2006-Q2",487100,-0.308971463765141,"2003-11","2011-08","2011-Q3",246800,-0.493327858755902
2014-02-28,"Northridge","CA","Los Angeles","Los Angeles","Los Angeles",80,569500,0.0106477373558119,0.0309558291093411,0.184484193011647,0.0262077389452788,0.0101688121435028,13878,"2006-02","2006-Q1",728100,-0.217827221535503,"2004-07","2012-02","2012-Q1",446200,-0.387172091745639
2014-02-28,"West Anaheim","CA","Los Angeles","Orange","Anaheim",81,429700,0.0063231850117096,0.0262717936470026,0.16418314819832,0.0336867155183536,0.0101823967642876,8845,"2006-08","2006-Q3",586400,-0.267223738062756,"2004-06","2012-03","2012-Q1",322500,-0.450034106412005
2014-02-28,"Forest Hills","NY","New York","Queens","New York",82,696800,0.00941619585687382,0.0263661805862424,0.0901126408010012,0.020911783329538,0.0421977791660944,5391,"2014-02","2014-Q1",696800,0,"2014-02",,,,
2014-02-28,"East Village","NY","New York","New York","New York",83,1269900,0.00769719092207586,0.0456154796212433,0.257949479940565,0.0277259326211894,,1451,"2014-02","2014-Q1",1269900,0,"2014-02",,,,
2014-02-28,"Eldridge - West Oaks","TX","Houston","Harris","Houston",84,219000,0.0167130919220056,0.036441079034548,0.145996860282575,,,10235,"2014-02","2014-Q1",219000,0,"2014-02",,,,
2014-02-28,"Cordova-Appling","TN","Memphis","Shelby","Memphis",85,125300,-0.000797448165869219,-0.00238853503184713,0.0186991869918699,-0.0172648017598656,-0.0146320202267605,20309,"2007-02","2007-Q1",153000,-0.181045751633987,"1998-02","2012-03","2012-Q1",119400,-0.219607843137255
2014-02-28,"Blossom Valley","CA","San Jose","Santa Clara","San Jose",86,623500,0.000320872773945131,0.00857327725655128,0.206929926442122,0.0408836287190062,0.0235130200645428,17106,"2007-03","2007-Q1",677000,-0.0790251107828656,"2005-05","2012-01","2012-Q1",440800,-0.348892171344165
2014-02-28,"Jackson Heights","NY","New York","Queens","New York",87,417800,0.00263978881689465,0.00360317079029546,0.0569187958512522,,,1505,"2011-11","2011-Q4",439900,-0.0502386906115026,"2011-07","2012-07","2012-Q3",390100,-0.113207547169811
2014-02-28,"Northwest Raleigh","NC","Raleigh","Wake","Raleigh",88,237500,0.00253271422541157,0.011068539804172,0.0412099956159579,0.00203339814149972,0.0217080399713612,20701,"2008-09","2008-Q3",240700,-0.0132945575405069,"2007-10","2012-01","2012-Q1",219600,-0.0876609887827171
2014-02-28,"Far Rockaway","NY","New York","Queens","New York",89,359000,-0.00194606616624965,-0.00333148250971682,0.016133597509199,-0.0273060318283984,0.0184561288791838,2508,"2007-01","2007-Q1",443300,-0.190164674035642,"2005-04","2011-12","2011-Q4",341400,-0.229866907286262
2014-02-28,"Ridgewood","NY","New York","Queens","New York",90,445400,0.00360522757999099,0.00837672628480869,0.0876678876678877,0.0105647468976358,0.0362713321030925,801,"2007-04","2007-Q2",455100,-0.021313996923753,"2006-11","2012-02","2012-Q1",367300,-0.192924631949022
2014-02-28,"West Rogers Park","IL","Chicago","Cook","Chicago",91,158100,-0.000632111251580278,0.0128122998078155,0.140692640692641,-0.0687204590086715,-0.0325440883124425,12175,"2006-05","2006-Q2",257500,-0.386019417475728,"2000-10","2012-12","2012-Q4",136300,-0.470679611650485
2014-02-28,"Reseda","CA","Los Angeles","Los Angeles","Los Angeles",92,396400,0.00609137055837563,0.0224400309517668,0.198669488962806,0.0444041589044979,0.0148411228675314,13164,"2006-06","2006-Q2",536200,-0.260723610593062,"2004-08","2011-10","2011-Q4",281300,-0.47538232002984
2014-02-28,"Mira Mesa","CA","San Diego","San Diego","San Diego",93,445100,0.00202611436289959,0.0134335154826958,0.156103896103896,0.0536184238455064,0.00627745491492693,19061,"2005-10","2005-Q4",507700,-0.123301162103604,"2004-05","2012-01","2012-Q1",339100,-0.332085877486705
2014-02-28,"East Elmhurst","NY","New York","Queens","New York",94,518900,0.0105160662122687,0.0353152434158021,0.122917117507033,0.00837763773783529,0.0298428304231508,3050,"2007-04","2007-Q2",611000,-0.150736497545008,"2005-12","2011-12","2011-Q4",455400,-0.254664484451719
2014-02-28,"Midtown","TN","Memphis","Shelby","Memphis",95,60400,-0.00494233937397035,0,0.0942028985507247,-0.0205270938612742,-0.00807333790515208,21121,"2007-04","2007-Q2",72000,-0.161111111111111,"2001-08","2011-11","2011-Q4",53400,-0.258333333333333
2014-02-28,"Cambrian Park","CA","San Jose","Santa Clara","San Jose",96,783500,0.00102210297687492,0.00268748400307141,0.133371907999421,0.0515091548345235,0.037595349376329,19699,"2014-02","2014-Q1",783500,0,"2014-02",,,,
2014-02-28,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby","Memphis",97,76600,0.00130718954248366,-0.00130378096479791,0.011889035667107,-0.0349239564165785,-0.0251289301706655,12008,"2007-03","2007-Q1",111200,-0.311151079136691,,"2012-09","2012-Q3",72100,-0.351618705035971
2014-02-28,"Panorama City","CA","Los Angeles","Los Angeles","Los Angeles",98,321900,0.00688145136065061,0.0307396733909702,0.19843633655994,0.0307984579436789,0.00771076980883034,6928,"2006-08","2006-Q3",493400,-0.347588163761654,"2004-05","2012-04","2012-Q2",230800,-0.532225374949331
2014-02-28,"Princess Anne","VA","Virginia Beach","Virginia Beach City","Virginia Beach",99,287100,0.00525210084033613,0.00878425860857344,0.03125,-0.00722491011886273,0.0284362214204494,20604,"2006-06","2006-Q2",330200,-0.130526953361599,"2005-04","2012-04","2012-Q2",270500,-0.180799515445185
2014-02-28,"Midwood","NY","New York","Kings","New York",100,697800,0.0164603058994902,0.0523299653144322,0.182311080989495,0.025184081853681,0.0308426378754252,4758,"2006-06","2006-Q2",704600,-0.00965086573942663,"2006-05","2011-11","2011-Q4",586800,-0.167187056485949
